date,sma_cross,ema_cross,rsi_signal,macd_signal,bollinger_signal,stoch_signal,williams_signal,cci_signal,roc_signal,adx_trend,vortex_signal,obv_signal,final_decision,open,close
2024-12-10,0,0,0,0,0,0,0,1,2,0,2,0,2,2660.85,2693.8
2024-12-11,0,0,0,0,0,0,1,1,2,0,2,2,2,2693.98,2717.95
2024-12-12,0,0,0,0,0,0,0,1,2,0,2,1,0,2717.58,2680.55
2024-12-13,0,0,0,0,0,0,0,0,1,0,2,1,1,2681.0,2648.8
2024-12-16,0,0,0,0,0,0,0,0,2,0,2,2,2,2650.72,2652.62
2024-12-17,0,0,0,0,0,0,0,0,2,0,2,1,2,2652.65,2646.4
2024-12-18,0,0,0,0,2,0,2,2,1,0,1,1,0,2646.32,2585.31
2024-12-19,0,0,0,0,0,0,2,2,1,0,1,2,2,2585.48,2594.39
2024-12-20,0,0,0,0,0,0,0,2,1,0,1,2,0,2594.75,2623.03
2024-12-23,0,0,0,0,0,0,0,0,1,0,1,1,1,2620.78,2612.77
2024-12-24,0,0,0,0,0,0,0,0,1,0,1,2,1,2613.12,2616.59
2024-12-26,0,0,0,0,0,0,0,0,1,0,1,2,1,2616.14,2633.53
2024-12-27,0,0,0,0,0,0,0,0,1,0,1,1,1,2635.7,2621.54
2024-12-30,0,0,0,0,0,0,2,0,1,0,1,1,1,2621.03,2605.96
2024-12-31,0,0,0,0,0,0,0,0,1,0,1,2,1,2605.71,2624.61
